Game;Test Name;Duration (ms);Passed;Failure Message;Type
"Hund efter Hare (Thy)_test_results";"pieceDeclaredAsShared";16;false;"The game does not have any piece declared as Shared";Static
"Hund efter Hare (Thy)_test_results";"pieceDeclaredAsNeutral";17;true;;Static
"Hund efter Hare (Thy)_test_results";"playerNotDeclared";18;true;;Static
"Hund efter Hare (Thy)_test_results";"equalNumberOfPiecesOnTheBoard";86;true;;Static
"Hund efter Hare (Thy)_test_results";"sizeOfTrack";16;false;"Track concept is not present";Static
"Hund efter Hare (Vendsyssel)_test_results";"lineLessOrEqualThanBoardSide";11;false;"Line concept is not present";Static
"Hund efter Hare (Vendsyssel)_test_results";"eachPieceReferenceNotDuplicated";11;true;;Static
"Hund efter Hare (Vendsyssel)_test_results";"pieceDeclaredAsEach";38;true;;Static
"Hund efter Hare (Vendsyssel)_test_results";"pieceDeclaredAsShared";14;false;"The game does not have any piece declared as Shared";Static
"Hund efter Hare (Vendsyssel)_test_results";"pieceDeclaredAsNeutral";14;true;;Static
"Hund efter Hare (Vendsyssel)_test_results";"playerNotDeclared";9;true;;Static
"Hund efter Hare (Vendsyssel)_test_results";"equalNumberOfPiecesOnTheBoard";79;true;;Static
"Hund efter Hare (Vendsyssel)_test_results";"sizeOfTrack";11;false;"Track concept is not present";Static
"Hyvn aetter Hare_test_results";"lineLessOrEqualThanBoardSide";19;false;"Line concept is not present";Static
"Hyvn aetter Hare_test_results";"eachPieceReferenceNotDuplicated";15;true;;Static
"Hyvn aetter Hare_test_results";"pieceDeclaredAsEach";41;true;;Static
"Hyvn aetter Hare_test_results";"pieceDeclaredAsShared";13;false;"The game does not have any piece declared as Shared";Static
"Hyvn aetter Hare_test_results";"pieceDeclaredAsNeutral";11;true;;Static
"Hyvn aetter Hare_test_results";"playerNotDeclared";11;true;;Static
"Hyvn aetter Hare_test_results";"equalNumberOfPiecesOnTheBoard";81;true;;Static
"Hyvn aetter Hare_test_results";"sizeOfTrack";16;false;"Track concept is not present";Static
"Janes Soppi_test_results";"lineLessOrEqualThanBoardSide";10;false;"Line concept is not present";Static
"Janes Soppi_test_results";"eachPieceReferenceNotDuplicated";11;true;;Static
"Janes Soppi_test_results";"pieceDeclaredAsEach";43;true;;Static
"Janes Soppi_test_results";"pieceDeclaredAsShared";10;false;"The game does not have any piece declared as Shared";Static
"Janes Soppi_test_results";"pieceDeclaredAsNeutral";9;true;;Static
"Janes Soppi_test_results";"playerNotDeclared";13;true;;Static
"Janes Soppi_test_results";"equalNumberOfPiecesOnTheBoard";78;true;;Static
"Janes Soppi_test_results";"sizeOfTrack";12;false;"Track concept is not present";Static
"Jeu de Renard (Two Foxes)_test_results";"lineLessOrEqualThanBoardSide";42;false;"Line concept is not present";Static
"Jeu de Renard (Two Foxes)_test_results";"eachPieceReferenceNotDuplicated";36;true;;Static
"Jeu de Renard (Two Foxes)_test_results";"pieceDeclaredAsEach";71;true;;Static
"Jeu de Renard (Two Foxes)_test_results";"pieceDeclaredAsShared";31;false;"The game does not have any piece declared as Shared";Static
"Jeu de Renard (Two Foxes)_test_results";"pieceDeclaredAsNeutral";29;true;;Static
"Jeu de Renard (Two Foxes)_test_results";"playerNotDeclared";28;true;;Static
"Jeu de Renard (Two Foxes)_test_results";"equalNumberOfPiecesOnTheBoard";94;false;"Players do not have the same number of pieces";Static
"Jeu de Renard (Two Foxes)_test_results";"sizeOfTrack";37;false;"Track concept is not present";Static
"Jeu de Renard_test_results";"lineLessOrEqualThanBoardSide";26;false;"Line concept is not present";Static
"Jeu de Renard_test_results";"eachPieceReferenceNotDuplicated";21;true;;Static
"Jeu de Renard_test_results";"pieceDeclaredAsEach";50;true;;Static
"Jeu de Renard_test_results";"pieceDeclaredAsShared";25;false;"The game does not have any piece declared as Shared";Static
"Jeu de Renard_test_results";"pieceDeclaredAsNeutral";22;true;;Static
"Jeu de Renard_test_results";"playerNotDeclared";20;true;;Static
"Jeu de Renard_test_results";"equalNumberOfPiecesOnTheBoard";82;false;"Players do not have the same number of pieces";Static
"Jeu de Renard_test_results";"sizeOfTrack";21;false;"Track concept is not present";Static
"Jeu du Renard et de la Poule_test_results";"lineLessOrEqualThanBoardSide";25;false;"Line concept is not present";Static
"Jeu du Renard et de la Poule_test_results";"eachPieceReferenceNotDuplicated";19;true;;Static
"Jeu du Renard et de la Poule_test_results";"pieceDeclaredAsEach";47;true;;Static
"Jeu du Renard et de la Poule_test_results";"pieceDeclaredAsShared";20;false;"The game does not have any piece declared as Shared";Static
"Jeu du Renard et de la Poule_test_results";"pieceDeclaredAsNeutral";21;true;;Static
"Jeu du Renard et de la Poule_test_results";"playerNotDeclared";19;true;;Static
"Jeu du Renard et de la Poule_test_results";"equalNumberOfPiecesOnTheBoard";86;true;;Static
"Jeu du Renard et de la Poule_test_results";"sizeOfTrack";22;false;"Track concept is not present";Static
"Jeu Militaire_test_results";"lineLessOrEqualThanBoardSide";14;false;"Line concept is not present";Static
"Jeu Militaire_test_results";"eachPieceReferenceNotDuplicated";15;true;;Static
"Jeu Militaire_test_results";"pieceDeclaredAsEach";38;true;;Static
"Jeu Militaire_test_results";"pieceDeclaredAsShared";13;false;"The game does not have any piece declared as Shared";Static
"Jeu Militaire_test_results";"pieceDeclaredAsNeutral";10;true;;Static
"Jeu Militaire_test_results";"playerNotDeclared";10;true;;Static
"Jeu Militaire_test_results";"equalNumberOfPiecesOnTheBoard";74;true;;Static
"Jeu Militaire_test_results";"sizeOfTrack";12;false;"Track concept is not present";Static
"Juroku Musashi_test_results";"lineLessOrEqualThanBoardSide";19;false;"Line concept is not present";Static
"Juroku Musashi_test_results";"eachPieceReferenceNotDuplicated";16;true;;Static
"Juroku Musashi_test_results";"pieceDeclaredAsEach";45;true;;Static
"Juroku Musashi_test_results";"pieceDeclaredAsShared";16;false;"The game does not have any piece declared as Shared";Static
"Juroku Musashi_test_results";"pieceDeclaredAsNeutral";16;true;;Static
"Juroku Musashi_test_results";"playerNotDeclared";18;true;;Static
"Juroku Musashi_test_results";"equalNumberOfPiecesOnTheBoard";75;true;;Static
"Juroku Musashi_test_results";"sizeOfTrack";18;false;"Track concept is not present";Static
"Kaooa_test_results";"lineLessOrEqualThanBoardSide";10;false;"Line concept is not present";Static
"Kaooa_test_results";"eachPieceReferenceNotDuplicated";12;true;;Static
"Kaooa_test_results";"pieceDeclaredAsEach";38;true;;Static
"Kaooa_test_results";"pieceDeclaredAsShared";12;false;"The game does not have any piece declared as Shared";Static
"Kaooa_test_results";"pieceDeclaredAsNeutral";10;true;;Static
"Kaooa_test_results";"playerNotDeclared";12;true;;Static
"Kaooa_test_results";"equalNumberOfPiecesOnTheBoard";74;true;;Static
"Kaooa_test_results";"sizeOfTrack";11;false;"Track concept is not present";Static
"Ko-app-paw-na_test_results";"lineLessOrEqualThanBoardSide";14;false;"Line concept is not present";Static
"Ko-app-paw-na_test_results";"eachPieceReferenceNotDuplicated";14;true;;Static
"Ko-app-paw-na_test_results";"pieceDeclaredAsEach";44;true;;Static
"Ko-app-paw-na_test_results";"pieceDeclaredAsShared";11;false;"The game does not have any piece declared as Shared";Static
"Ko-app-paw-na_test_results";"pieceDeclaredAsNeutral";12;true;;Static
"Ko-app-paw-na_test_results";"playerNotDeclared";12;true;;Static
"Ko-app-paw-na_test_results";"equalNumberOfPiecesOnTheBoard";74;true;;Static
"Ko-app-paw-na_test_results";"sizeOfTrack";12;false;"Track concept is not present";Static
"Komikan_test_results";"lineLessOrEqualThanBoardSide";26;false;"Line concept is not present";Static
"Komikan_test_results";"eachPieceReferenceNotDuplicated";25;true;;Static
"Komikan_test_results";"pieceDeclaredAsEach";61;true;;Static
"Komikan_test_results";"pieceDeclaredAsShared";25;false;"The game does not have any piece declared as Shared";Static
"Komikan_test_results";"pieceDeclaredAsNeutral";24;true;;Static
"Komikan_test_results";"playerNotDeclared";25;true;;Static
"Komikan_test_results";"equalNumberOfPiecesOnTheBoard";96;true;;Static
"Komikan_test_results";"sizeOfTrack";27;false;"Track concept is not present";Static
"Koti Keliya_test_results";"lineLessOrEqualThanBoardSide";44;false;"Line concept is not present";Static
"Koti Keliya_test_results";"eachPieceReferenceNotDuplicated";48;true;;Static
"Koti Keliya_test_results";"pieceDeclaredAsEach";75;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static
"Koti Keliya_test_results";"pieceDeclaredAsShared";40;false;"The game does not have any piece declared as Shared";Static
"Koti Keliya_test_results";"pieceDeclaredAsNeutral";41;true;;Static
"Koti Keliya_test_results";"playerNotDeclared";40;true;;Static
"Koti Keliya_test_results";"equalNumberOfPiecesOnTheBoard";109;false;"Players do not have the same number of pieces";Static
"Koti Keliya_test_results";"sizeOfTrack";43;false;"Track concept is not present";Static
"Kulaochal_test_results";"lineLessOrEqualThanBoardSide";16;false;"Line concept is not present";Static
"Kulaochal_test_results";"eachPieceReferenceNotDuplicated";15;true;;Static
"Kulaochal_test_results";"pieceDeclaredAsEach";46;true;;Static
"Kulaochal_test_results";"pieceDeclaredAsShared";15;false;"The game does not have any piece declared as Shared";Static
"Kulaochal_test_results";"pieceDeclaredAsNeutral";14;true;;Static
"Kulaochal_test_results";"playerNotDeclared";14;true;;Static
"Kulaochal_test_results";"equalNumberOfPiecesOnTheBoard";84;true;;Static
"Kulaochal_test_results";"sizeOfTrack";17;false;"Track concept is not present";Static
"La Liebre Perseguida_test_results";"lineLessOrEqualThanBoardSide";15;false;"Line concept is not present";Static
"La Liebre Perseguida_test_results";"eachPieceReferenceNotDuplicated";16;true;;Static
"La Liebre Perseguida_test_results";"pieceDeclaredAsEach";40;true;;Static
"La Liebre Perseguida_test_results";"pieceDeclaredAsShared";14;false;"The game does not have any piece declared as Shared";Static
"La Liebre Perseguida_test_results";"pieceDeclaredAsNeutral";13;true;;Static
"La Liebre Perseguida_test_results";"playerNotDeclared";13;true;;Static
"La Liebre Perseguida_test_results";"equalNumberOfPiecesOnTheBoard";70;true;;Static
"La Liebre Perseguida_test_results";"sizeOfTrack";19;false;"Track concept is not present";Static
"La Yagua_test_results";"lineLessOrEqualThanBoardSide";23;false;"Line concept is not present";Static
"La Yagua_test_results";"eachPieceReferenceNotDuplicated";17;true;;Static
"La Yagua_test_results";"pieceDeclaredAsEach";44;true;;Static
